Abiotic,Region,Region_Name,COUNT,AREA_M2,AREA_Acres,AREA_HA,MIN,MAX,RANGE,MEAN,STD,Shape_Area M2
% Clay in Soil,Class I Areas,Acadia NP,174067,156660300,38711.5434315,15666.03,0.5,46.148148,45.648148,8.758699,6.21424,156976202.212794
% Clay in Soil,Class I Areas,Boundary Waters Canoe Area Wilderness,4562494,4106244600,1014673.5718830,410624.46,5.116256,19.677876,14.561619,9.715614,1.14666,4415689551.038190
% Clay in Soil,Class I Areas,Brigantine Wilderness,9576,8618400,2129.6497320,861.84,3.565223,42.487377,38.922154,36.419343,12.497738,9785546.479338
% Clay in Soil,Class I Areas,Dolly Sods Wilderness,48235,43411500,10727.1987075,4341.15,7.181818,40.135513,32.953695,18.805852,7.511866,43407012.422794
% Clay in Soil,Class I Areas,Great Gulf Wilderness,27040,24336000,6013.5472800,2433.60,4.425638,8.295077,3.869439,7.685612,1.409553,24333487.464179
% Clay in Soil,Class I Areas,Isle Royale NP,639840,575856000,142296.8968800,57585.60,0,22.892662,22.892662,6.195,1.761383,2224596026.698460
% Clay in Soil,Class I Areas,James River Face Wilderness,40066,36059400,8910.4580370,3605.94,8.821428,43.766666,34.945238,13.880583,5.918892,36061953.654039
% Clay in Soil,Class I Areas,Lye Brook Wilderness,71351,64215900,15868.0699695,6421.59,2.366595,7.240197,4.873602,6.356172,0.561454,64221170.710860
% Clay in Soil,Class I Areas,Mammoth Cave NP,230884,207795600,51347.3317380,20779.56,10.778688,49.43182,38.653131,27.223877,7.988373,207797270.790150
% Clay in Soil,Class I Areas,Moosehorn Wilderness BAR,21584,19425600,4800.1628880,1942.56,2.177923,43.780167,41.602244,6.481835,6.109475,19427383.657833
% Clay in Soil,Class I Areas,Moosehorn Wilderness EDM,12177,10959300,2708.0978265,1095.93,2.177923,43.780167,41.602244,18.659331,15.477669,10966667.379660
% Clay in Soil,Class I Areas,Otter Creek Wilderness,89884,80895600,19989.7072380,8089.56,8.375,38.166668,29.791668,19.980536,8.114944,80879488.939516
% Clay in Soil,Class I Areas,Presidential Range-Dry River Wilderness,125840,113256000,27986.1238800,11325.60,1.832588,8.295077,6.462489,6.530388,1.805625,113247489.248687
% Clay in Soil,Class I Areas,Rainbow Lake Wilderness,31684,28515600,7046.3473380,2851.56,1.430534,13.604651,12.174117,6.316431,4.030477,28527702.443629
% Clay in Soil,Class I Areas,Seney Wilderness,121260,109134000,26967.5570700,10913.40,0.375745,5.531909,5.156164,2.24,1.775548,109129287.035413
% Clay in Soil,Class I Areas,Shenandoah NP,869029,782126100,193267.2699405,78212.61,6.345395,43.492348,37.146953,19.884608,5.813923,782161341.766315
% Clay in Soil,Class I Areas,Voyageurs NP,630197,567177300,140152.3467165,56717.73,4.804269,53.459373,48.655104,10.079147,6.348849,829261617.157305
% Clay in Soil,Ecoregions Combined,All Ecoregions,827730129,744957116100,184082628.1738910,74495711.61,0,75,75,13.181947,10.447236,760057317559.180000
% Clay in Soil,Ecoregions Level 2,Atlantic Highlands,164903718,148413346200,36673679.9127510,14841334.62,0,75,75,10.114435,6.627596,150924840138.306000
% Clay in Soil,Ecoregions Level 2,Mixed Wood Plains,431596096,388436486400,95984597.9718720,38843648.64,0,75,75,15.472951,10.570948,394420123294.760000
% Clay in Soil,Ecoregions Level 2,Mixed Wood Shield,231230315,208107283500,51424350.2892675,20810728.35,0,70.190788,70.190788,11.093359,11.398851,214712354126.112000
% Clay in Soil,Ecoregions Level 3,Acadian Plains and Hills,48711686,43840517400,10833211.0521270,4384051.74,0.376543,46.148148,45.771604,12.31927,9.982576,45250035288.537900
% Clay in Soil,Ecoregions Level 3,Driftless Area,52084517,46876065300,11583310.1159565,4687606.53,0,63.564308,63.564308,21.034119,9.408136,47386276779.215200
% Clay in Soil,Ecoregions Level 3,Eastern Great Lakes Lowlands,42807345,38526610500,9520118.0876025,3852661.05,0,75,75,20.596698,15.479801,40301910537.527400
% Clay in Soil,Ecoregions Level 3,Erie Drift Plain,34281140,30853026000,7623936.9897300,3085302.60,0.5,51.43092,50.93092,23.021863,7.630105,30959680375.094500
% Clay in Soil,Ecoregions Level 3,North Central Appalachians,29606219,26645597100,6584260.2713955,2664559.71,0,49.21212,49.21212,18.287117,5.6526,26727356832.030000
% Clay in Soil,Ecoregions Level 3,North Central Hardwood Forests,97333692,87600322800,21646477.7654940,8760032.28,0,69.539474,69.539474,12.794463,9.0796,88909527413.238700
