Region,Region_Name,CL_Category,CL,Percentage,Count
Class I Areas,Acadia NP,A (Min Min),3,93.40156092,130326
Class I Areas,Acadia NP,A (Min Min),5,6.180616772,8624
Class I Areas,Acadia NP,A (Min Min),6,0,0
Class I Areas,Acadia NP,A (Min Min),7,0.417822307,583
Class I Areas,Acadia NP,A (Min Min),8,0,0
Class I Areas,Acadia NP,A (Min Min),9,0,0
Class I Areas,Acadia NP,A (Min Min),10,0,0
Class I Areas,Acadia NP,A (Min Min),11,0,0
Class I Areas,Acadia NP,A (Min Min),12,0,0
Class I Areas,Acadia NP,A (Min Min),13,0,0
Class I Areas,Acadia NP,A (Min Min),14,0,0
Class I Areas,Acadia NP,A (Min Min),17,0,0
Class I Areas,Acadia NP,A (Min Min),18,0,0
Class I Areas,Acadia NP,B (Max Min),3,0.198519347,277
Class I Areas,Acadia NP,B (Max Min),5,6.585538905,9189
Class I Areas,Acadia NP,B (Max Min),6,0,0
Class I Areas,Acadia NP,B (Max Min),7,0,0
Class I Areas,Acadia NP,B (Max Min),8,0,0
Class I Areas,Acadia NP,B (Max Min),9,2.091978242,2919
Class I Areas,Acadia NP,B (Max Min),10,0,0
Class I Areas,Acadia NP,B (Max Min),11,10.75802857,15011
Class I Areas,Acadia NP,B (Max Min),12,0,0
Class I Areas,Acadia NP,B (Max Min),13,0,0
Class I Areas,Acadia NP,B (Max Min),14,3.306744641,4614
Class I Areas,Acadia NP,B (Max Min),15,0,0
Class I Areas,Acadia NP,B (Max Min),17,4.279274437,5971
Class I Areas,Acadia NP,B (Max Min),18,72.77991586,101552
Class I Areas,Acadia NP,C (Max Max),5,0,0
Class I Areas,Acadia NP,C (Max Max),6,0,0
Class I Areas,Acadia NP,C (Max Max),7,0,0
Class I Areas,Acadia NP,C (Max Max),8,0,0
Class I Areas,Acadia NP,C (Max Max),9,0,0
Class I Areas,Acadia NP,C (Max Max),10,0.198519347,277
Class I Areas,Acadia NP,C (Max Max),12,0,0
Class I Areas,Acadia NP,C (Max Max),13,6.585538905,9189
Class I Areas,Acadia NP,C (Max Max),14,0,0
Class I Areas,Acadia NP,C (Max Max),15,2.091978242,2919
Class I Areas,Acadia NP,C (Max Max),17,0.002866705,4
Class I Areas,Acadia NP,C (Max Max),18,14.0619065,19621
Class I Areas,Acadia NP,C (Max Max),19,0,0
Class I Areas,Acadia NP,C (Max Max),21,0,0
