ANALYSIS,Region,Region_Name,CL_Category,COUNT,AREA_M2,MIN,MAX,RANGE,MEAN,STD,SUM,AREA_HA,AREA_ACRES
high_IV_WOI,Class I Areas,Acadia NP,A (Min Min),139533,125579700,3,7,4,3.165045,0.62897,441628.2008,12557.97,31031.37177
high_IV_WOI,Class I Areas,Boundary Waters Canoe Area Wilderness,A (Min Min),3622459,3260213100,3,7,4,3.445151,0.941265,12479918.5,326021.31,805614.9581
high_IV_WOI,Class I Areas,Brigantine Wilderness,A (Min Min),4,3600,14.5,14.5,0,14.5,0,58,0.36,0.889578
high_IV_WOI,Class I Areas,Dolly Sods Wilderness,A (Min Min),45918,41326200,3,7,4,3.164641,0.794644,145314,4132.62,10211.91065
high_IV_WOI,Class I Areas,Great Gulf Wilderness,A (Min Min),19050,17145000,3,3,0,3,0,57150,1714.5,4236.615225
high_IV_WOI,Class I Areas,Isle Royale NP,A (Min Min),566547,509892300,3,8.5,5.5,3.763912,1.198156,2132433.202,50989.23,125996.9368
high_IV_WOI,Class I Areas,James River Face Wilderness,A (Min Min),33444,30099600,3,6.75,3.75,3.013007,0.220469,100767,3009.96,7437.761658
high_IV_WOI,Class I Areas,Lye Brook Wilderness,A (Min Min),70912,63820800,3,7,4,3.024453,0.223859,214470,6382.08,15770.43878
high_IV_WOI,Class I Areas,Mammoth Cave NP,A (Min Min),213977,192579300,3,7,4,3.774958,1.5264,807754.25,19257.93,47587.30793
high_IV_WOI,Class I Areas,Moosehorn Wilderness BAR,A (Min Min),11168,10051200,3,3,0,3,0,33504,1005.12,2483.701776
high_IV_WOI,Class I Areas,Moosehorn Wilderness EDM,A (Min Min),9694,8724600,3,3,0,3,0,29082,872.46,2155.892283
high_IV_WOI,Class I Areas,Otter Creek Wilderness,A (Min Min),89187,80268300,3,7,4,3.160875,0.785889,281909,8026.83,19834.69827
high_IV_WOI,Class I Areas,Presidential Range-Dry River Wilderness,A (Min Min),122652,110386800,3,3,0,3,0,367956,11038.68,27277.13021
high_IV_WOI,Class I Areas,Rainbow Lake Wilderness,A (Min Min),30285,27256500,3,3,0,3,0,90855,2725.65,6735.217433
high_IV_WOI,Class I Areas,Seney Wilderness,A (Min Min),74128,66715200,3,5.4,2.4,3.789774,1.126885,280928.4023,6671.52,16485.6595
high_IV_WOI,Class I Areas,Shenandoah NP,A (Min Min),795029,715526100,3,12.5,9.5,3.330222,1.100613,2647622.75,71552.61,176810.0769
high_IV_WOI,Class I Areas,Voyageurs NP,A (Min Min),538232,484408800,3,9,6,3.631414,1.142497,1954543.25,48440.88,119699.8365
high_IV_WOI,Class I Areas,Acadia NP,B (Max Min),139533,125579700,3,18.5,15.5,16.398639,4.004816,2288151.351,12557.97,31031.37177
high_IV_WOI,Class I Areas,Boundary Waters Canoe Area Wilderness,B (Max Min),3622459,3260213100,5,15.3,10.3,15.177889,0.56004,54981281.65,326021.31,805614.9581
high_IV_WOI,Class I Areas,Brigantine Wilderness,B (Max Min),4,3600,18.5,18.5,0,18.5,0,74,0.36,0.889578
high_IV_WOI,Class I Areas,Dolly Sods Wilderness,B (Max Min),45918,41326200,11,18.5,7.5,13.585212,2.584621,623805.75,4132.62,10211.91065
high_IV_WOI,Class I Areas,Great Gulf Wilderness,B (Max Min),19050,17145000,11,14,3,11.044409,0.318022,210396,1714.5,4236.615225
