Species,CL_Value,Region,Region_Name,Count_Stats,Area_M2,Min,Max,Range,Mean,STD,Sum,Lo_Count,Lo_Percent,Hi_Count,Hi_Percent,Count_Hist,Area_HA,Area_Acres
Abies balsamea,Min CL,Class I Areas,Acadia NP,104730,94257000,9,9,0,9,0,942570,104730,100,0,0,104730,9425.7,23291.37599
Abies balsamea,Min CL,Class I Areas,Boundary Waters Canoe Area Wilderness,3570813,3213731700,15,15,0,15,0,53562195,0,0,3570813,100,3570813,321373.17,794129.1717
Abies balsamea,Min CL,Class I Areas,Dolly Sods Wilderness,38173,34355700,9,9,0,9,0,343557,38173,100,0,0,38173,3435.57,8489.465249
Abies balsamea,Min CL,Class I Areas,Great Gulf Wilderness,19050,17145000,9,9,0,9,0,171450,19050,100,0,0,19050,1714.5,4236.615225
Abies balsamea,Min CL,Class I Areas,Isle Royale NP,384826,346343400,9,9,0,9,0,3463434,384826,100,0,0,384826,34634.34,85583.18586
Abies balsamea,Min CL,Class I Areas,Lye Brook Wilderness,70882,63793800,9,9,0,9,0,637938,70882,100,0,0,70882,6379.38,15763.76695
Abies balsamea,Min CL,Class I Areas,Moosehorn Wilderness BAR,11168,10051200,15,15,0,15,0,167520,0,0,11168,100,11168,1005.12,2483.701776
Abies balsamea,Min CL,Class I Areas,Moosehorn Wilderness EDM,9694,8724600,9,15,6,11.343924,2.927382,109968,5907,60.93459872,3787,39.06540128,9694,872.46,2155.892283
Abies balsamea,Min CL,Class I Areas,Presidential Range-Dry River Wilderness,122480,110232000,9,9,0,9,0,1102320,122480,100,0,0,122480,11023.2,27238.87836
Abies balsamea,Min CL,Class I Areas,Rainbow Lake Wilderness,30285,27256500,9,15,6,14.554433,1.573173,440781,2249,7.426118541,28036,92.57388146,30285,2725.65,6735.217433
Abies balsamea,Min CL,Class I Areas,Seney Wilderness,74128,66715200,9,9,0,9,0,667152,74128,100,0,0,74128,6671.52,16485.6595
Abies balsamea,Min CL,Class I Areas,Shenandoah NP,91083,81974700,9,9,0,9,0,819747,91083,100,0,0,91083,8197.47,20256.35824
