Region,Region_Name,CL_Category,Exc,Percentage,Count
Class I Areas,Acadia NP,A (Min Min),-12,0,0
Class I Areas,Acadia NP,A (Min Min),-11,0,0
Class I Areas,Acadia NP,A (Min Min),-10,0,0
Class I Areas,Acadia NP,A (Min Min),-9,0,0
Class I Areas,Acadia NP,A (Min Min),-8,0,0
Class I Areas,Acadia NP,A (Min Min),-7,0,0
Class I Areas,Acadia NP,A (Min Min),-6,0,0
Class I Areas,Acadia NP,A (Min Min),-5,0,0
Class I Areas,Acadia NP,A (Min Min),-4,0.722338131,412
Class I Areas,Acadia NP,A (Min Min),-3,0,0
Class I Areas,Acadia NP,A (Min Min),-2,7.561758157,4313
Class I Areas,Acadia NP,A (Min Min),-1,0,0
Class I Areas,Acadia NP,A (Min Min),0,91.23376054,52037
Class I Areas,Acadia NP,A (Min Min),1,0.201623508,115
Class I Areas,Acadia NP,A (Min Min),2,0.280519663,160
Class I Areas,Acadia NP,A (Min Min),3,0,0
Class I Areas,Acadia NP,A (Min Min),4,0,0
Class I Areas,Acadia NP,A (Min Min),5,0,0
Class I Areas,Acadia NP,A (Min Min),6,0,0
Class I Areas,Acadia NP,A (Min Min),7,0,0
Class I Areas,Acadia NP,A (Min Min),8,0,0
Class I Areas,Acadia NP,A (Min Min),9,0,0
Class I Areas,Acadia NP,A (Min Min),10,0,0
Class I Areas,Acadia NP,A (Min Min),11,0,0
Class I Areas,Acadia NP,A (Min Min),12,0,0
Class I Areas,Acadia NP,A (Min Min),13,0,0
Class I Areas,Acadia NP,A (Min Min),14,0,0
Class I Areas,Acadia NP,A (Min Min),15,0,0
Class I Areas,Acadia NP,A (Min Min),16,0,0
Class I Areas,Acadia NP,A (Min Min),17,0,0
Class I Areas,Acadia NP,B (Max Min),-15,80.56524712,45952
Class I Areas,Acadia NP,B (Max Min),-14,3.813314164,2175
Class I Areas,Acadia NP,B (Max Min),-13,0.201623508,115
Class I Areas,Acadia NP,B (Max Min),-12,0.280519663,160
Class I Areas,Acadia NP,B (Max Min),-11,1.446429511,825
Class I Areas,Acadia NP,B (Max Min),-10,0,0
Class I Areas,Acadia NP,B (Max Min),-9,0,0
