Species,CL_Value,Region,Region_Name,Count_Stats,Area_M2,Min,Max,Range,Mean,STD,Sum,LT-1_Count,LT-1_Percent,GT-1_LT0_Count,GT-1_LT0_Percent,GT0_LT1_Count,GT0_LT1_Percent,GT1_Count,GT1_Percent,Exc_Count,Exc_Percent,Count_Hist,Area_HA,Area_Acres
Abies balsamea,Max CL,Class I Areas,Rainbow Lake Wilderness,30285,27256500,-12.235084,-5.939861,6.295222,-11.684458,1.582734,-353863.8223,30285,100,0,0,0,0,0,0,0,0,30285,2725.65,6735.217433
Abies balsamea,Max CL,Class I Areas,Presidential Range-Dry River Wilderness,122480,110232000,-9.350826,-7.195706,2.15512,-8.279575,0.660831,-1014082.393,122480,100,0,0,0,0,0,0,0,0,122480,11023.2,27238.87836
Abies balsamea,Max CL,Class I Areas,Lye Brook Wilderness,70882,63793800,-7.797111,-6.404727,1.392384,-6.563686,0.190884,-465247.188,70882,100,0,0,0,0,0,0,0,0,70882,6379.38,15763.76695
Abies balsamea,Max CL,Class I Areas,Great Gulf Wilderness,19050,17145000,-8.819469,-7.668925,1.150544,-8.359326,0.487638,-159245.167,19050,100,0,0,0,0,0,0,0,0,19050,1714.5,4236.615225
Abies balsamea,Max CL,Class I Areas,Dolly Sods Wilderness,38173,34355700,-6.267435,-5.281534,0.985901,-5.614966,0.294109,-214340.0795,38173,100,0,0,0,0,0,0,0,0,38173,3435.57,8489.465249
Abies balsamea,Max CL,Class I Areas,Boundary Waters Canoe Area Wilderness,3505157,3154641300,-16.990082,-13.81876,3.171322,-15.16457,0.528329,-53154199.56,3505157,100,0,0,0,0,0,0,0,0,3505157,315464.13,779527.6384
Abies balsamea,Max CL,Class I Areas,Shenandoah NP,91083,81974700,-6.31166,-2.896967,3.414693,-4.821612,1.081547,-439166.9205,91083,100,0,0,0,0,0,0,0,0,91083,8197.47,20256.35824
Abies balsamea,Max CL,Class I Areas,Isle Royale NP,326221,293598900,-10.081877,-7.486294,2.595583,-9.052801,0.977932,-2953213.937,326221,100,0,0,0,0,0,0,0,0,326221,29359.89,72549.75618
Abies balsamea,Max CL,Class I Areas,Acadia NP,40979,36881100,-12.197096,-9.408619,2.788477,-12.060924,0.191021,-494244.6099,40979,100,0,0,0,0,0,0,0,0,40979,3688.11,9113.504216
Abies balsamea,Max CL,Class I Areas,Voyageurs NP,517169,465452100,-16.495436,-9.800913,6.694523,-15.568106,1.164132,-8051341.736,517169,100,0,0,0,0,0,0,0,0,517169,46545.21,115015.5412
Abies balsamea,Max CL,Class I Areas,Seney Wilderness,74128,66715200,-8.5285,-8.021276,0.507223,-8.322574,0.176131,-616935.788,74128,100,0,0,0,0,0,0,0,0,74128,6671.52,16485.6595
Abies balsamea,Max CL,Class I Areas,Moosehorn Wilderness EDM,9694,8724600,-16.40799,-10.379309,6.028681,-12.742813,2.925151,-123528.8257,9694,100,0,0,0,0,0,0,0,0,9694,872.46,2155.892283
Abies balsamea,Max CL,Class I Areas,Moosehorn Wilderness BAR,11168,10051200,-16.656473,-16.457535,0.198938,-16.583784,0.084637,-185207.7032,11168,100,0,0,0,0,0,0,0,0,11168,1005.12,2483.701776
Abies balsamea,Max CL,Ecoregions Combined,All Ecoregions,342304334,308073900600,-18.195515,0.02215,18.217665,-11.512397,3.977116,-3940743519,342292341,99.99649639,11978,0.003499225,15,4.38207E-06,0,0,15,4.38207E-06,342304334,30807390.06,76126601.21
Abies balsamea,Max CL,Ecoregions Level 2,Atlantic Highlands,100982399,90884159100,-18.195515,-3.608346,14.587169,-12.277037,4.101555,-1239764644,100982399,100,0,0,0,0,0,0,0,0,100982399,9088415.91,22457930.13
Abies balsamea,Max CL,Ecoregions Level 2,Mixed Wood Plains,73712042,66340837800,-17.691664,0.02215,17.713814,-10.863913,4.980507,-800801181.4,73700049,99.98372993,11978,0.016249719,15,2.03495E-05,0,0,15,2.03495E-05,73712042,6634083.78,16393152.72
Abies balsamea,Max CL,Ecoregions Level 2,Mixed Wood Shield,167609893,150848903700,-17.073713,-2.628893,14.44482,-11.336907,3.269711,-1900177694,167609893,100,0,0,0,0,0,0,0,0,167609893,15084890.37,37275518.35
Abies balsamea,Max CL,Ecoregions Level 3,Acadian Plains and Hills,35483207,31934886300,-17.691664,-7.345909,10.345755,-15.237182,3.154438,-540664078.9,35483207,100,0,0,0,0,0,0,0,0,35483207,3193488.63,7891270.079
Abies balsamea,Max CL,Ecoregions Level 3,Driftless Area,1090584,981525600,-5.553461,0.02215,5.575611,-3.886007,0.66183,-4238016.857,1087375,99.70575398,3194,0.292870609,15,0.00137541,0,0,15,0.00137541,1090584,98152.56,242539.8834
Abies balsamea,Max CL,Ecoregions Level 3,Eastern Great Lakes Lowlands,7128483,6415634700,-15.573708,-0.90658,14.667128,-8.180663,1.568158,-58315719.57,7119699,99.87677603,8784,0.123223973,0,0,0,0,0,0,7128483,641563.47,1585335.413
Abies balsamea,Max CL,Ecoregions Level 3,Erie Drift Plain,975889,878300100,-6.099217,-3.352063,2.747154,-4.898342,0.605081,-4780238.148,975889,100,0,0,0,0,0,0,0,0,975889,87830.01,217032.3462
Abies balsamea,Max CL,Ecoregions Level 3,North Central Appalachians,3513991,3162591900,-6.850368,-3.608346,3.242022,-5.540332,0.699103,-19468678.27,3513991,100,0,0,0,0,0,0,0,0,3513991,316259.19,781492.2714
Abies balsamea,Max CL,Ecoregions Level 3,North Central Hardwood Forests,17502903,15752612700,-15.150437,-2.230614,12.919824,-6.778377,2.45925,-118641278.1,17502903,100,0,0,0,0,0,0,0,0,17502903,1575261.27,3892549.361
Abies balsamea,Max CL,Ecoregions Level 3,Northeastern Coastal Zone,963630,867267000,-14.387938,-5.426427,8.961511,-8.468218,0.80862,-8160229.383,963630,100,0,0,0,0,0,0,0,0,963630,86726.7,214306.012
Abies balsamea,Max CL,Ecoregions Level 3,Northern Allegheny Plateau,10567346,9510611400,-13.50369,-2.679983,10.823707,-6.245809,0.957814,-66001620.54,10567346,100,0,0,0,0,0,0,0,0,10567346,951061.14,2350119.63
Abies balsamea,Max CL,Ecoregions Level 3,Northern Appalachian and Atlantic Maritime Highlands,97468408,87721567200,-18.195515,-4.67013,13.525385,-12.519913,3.9644,-1220295966,97468408,100,0,0,0,0,0,0,0,0,97468408,8772156.72,21676437.86
Abies balsamea,Max CL,Ecoregions Level 3,Northern Lakes and Forests,150387860,135349074000,-17.073713,-2.628893,14.44482,-11.30002,3.287487,-1699385880,150387860,100,0,0,0,0,0,0,0,0,150387860,13534907.4,33445432.93
Abies balsamea,Max CL,Ecoregions Level 3,Northern Minnesota Wetlands,17222033,15499829700,-15.96096,-6.797139,9.163821,-11.659008,3.091531,-200791814,17222033,100,0,0,0,0,0,0,0,0,17222033,1549982.97,3830085.418
Abies balsamea,Max CL,Forest Service Admin Areas,Hiawatha National Forest,4617019,4155317100,-15.637829,-5.713662,9.924167,-9.875092,2.841085,-45593488.17,4617019,100,0,0,0,0,0,0,0,0,4617019,415531.71,1026799.632
Abies balsamea,Max CL,Forest Service Admin Areas,Chequamegon-Nicolet National Forest,7876485,7088836500,-14.311841,-4.490725,9.821116,-12.383942,1.942721,-97541935.03,7876485,100,0,0,0,0,0,0,0,0,7876485,708883.65,1751686.943
