Region,Region_Name,COUNT,AREA_M2,AREA_Acres,AREA_HA,MIN,MAX,RANGE,MEAN,STD,Shape_Area M2
Class I Areas,Acadia NP,74382,66943800,16542.1477,6694.38,2.802904,5.591382,2.788477,2.926033,0.156302,156976202
Class I Areas,Boundary Waters Canoe Area Wilderness,4768104,4291293600,1060400.105,429129.36,4.009919,7.181241,3.171322,5.833795,0.510161,4415689551
Class I Areas,Brigantine Wilderness,8468,7621200,1883.236626,762.12,9.084949,9.88057,0.795622,9.564089,0.387856,9785546
Class I Areas,Dolly Sods Wilderness,48235,43411500,10727.19871,4341.15,8.732565,9.718466,0.985901,9.371273,0.30924,43407012
Class I Areas,Great Gulf Wilderness,27040,24336000,6013.54728,2433.6,6.026557,7.331075,1.304518,6.788706,0.492353,24333487
Class I Areas,Isle Royale NP,550483,495434700,122424.3915,49543.47,4.918124,7.513706,2.595582,5.878564,0.948247,2224596027
Class I Areas,James River Face Wilderness,40066,36059400,8910.458037,3605.94,6.862881,7.64794,0.785059,7.227617,0.286691,36061954
Class I Areas,Lye Brook Wilderness,71351,64215900,15868.06997,6421.59,7.202889,8.595273,1.392384,8.436281,0.191832,64221171
Class I Areas,Mammoth Cave NP,230884,207795600,51347.33174,20779.56,9.768375,10.642464,0.874088,10.18316,0.271675,207797271
Class I Areas,Moosehorn Wilderness BAR,21584,19425600,4800.162888,1942.56,4.343527,4.542466,0.198939,4.423963,0.088224,19427384
Class I Areas,Moosehorn Wilderness EDM,12177,10959300,2708.097827,1095.93,4.568303,4.620691,0.052389,4.600277,0.013431,10966667
Class I Areas,Otter Creek Wilderness,89884,80895600,19989.70724,8089.56,8.098145,8.9559,0.857756,8.676545,0.325729,80879489
Class I Areas,Presidential Range-Dry River Wilderness,125840,113256000,27986.12388,11325.6,5.649174,7.804294,2.15512,6.737794,0.668468,113247489
Class I Areas,Rainbow Lake Wilderness,31684,28515600,7046.347338,2851.56,8.764916,9.060139,0.295222,8.871144,0.076107,28527702
Class I Areas,Seney Wilderness,121260,109134000,26967.55707,10913.4,6.4715,6.978723,0.507223,6.665952,0.173428,109129287
Class I Areas,Shenandoah NP,869029,782126100,193267.2699,78212.61,8.036959,12.90888,4.871922,9.873345,1.104211,782161342
Class I Areas,Voyageurs NP,819193,737273700,182184.0176,73727.37,4.504564,5.572243,1.067679,5.193068,0.284177,829261617
Ecoregions Combined,All Ecoregions,833707225,750336502500,185411901.5,75033650.25,2.628144,19.929228,17.301084,8.314467,2.506028,760057317559
Ecoregions Level 2,Atlantic Highlands,165542013,148987811700,36815633.21,14898781.17,2.804485,15.70784,12.903355,6.620217,1.967382,150924840138
Ecoregions Level 2,Mixed Wood Plains,433043350,389739015000,96306459.3,38973901.5,2.628144,19.929228,17.301084,9.4161,2.641507,394420123295
Ecoregions Level 2,Mixed Wood Shield,235121862,211609675800,52289808.94,21160967.58,3.926286,12.371107,8.444821,7.478369,1.317957,214712354126
Ecoregions Level 3,Acadian Plains and Hills,48342821,43508538900,10751177.5,4350853.89,2.628144,7.684018,5.055874,4.222334,0.733897,45250035289
Ecoregions Level 3,Driftless Area,52651402,47386261800,11709382.22,4738626.18,9.12801,15.02953,5.90152,11.839813,1.104076,47386276779
Ecoregions Level 3,Eastern Great Lakes Lowlands,43295343,38965808700,9628646.159,3896580.87,4.105223,15.510983,11.40576,8.55782,1.922671,40301910538
Ecoregions Level 3,Erie Drift Plain,34399619,30959657100,7650286.068,3095965.71,8.298184,15.510983,7.212799,11.285795,1.202551,30959680375
Ecoregions Level 3,North Central Appalachians,29697029,26727326100,6604455.916,2672732.61,7.297434,11.391654,4.09422,9.029656,0.695004,26727356832
Ecoregions Level 3,North Central Hardwood Forests,98225294,88402764600,21844765.15,8840276.46,5.286287,18.95122,13.664933,10.143038,1.786251,88909527413
Ecoregions Level 3,Northeastern Coastal Zone,45765808,41189227200,10178063.99,4118922.72,4.141598,19.929228,15.78763,8.091879,1.76361,42067270136
Ecoregions Level 3,Northern Allegheny Plateau,51678032,46510228800,11492910.09,4651022.88,6.786837,12.483586,5.696749,8.780303,0.927037,46510281699
Ecoregions Level 3,Northern Appalachian and Atlantic Maritime Highlands,135844984,122260485600,30211177.29,12226048.56,2.804485,15.70784,12.903355,6.093491,1.750596,124197483306
Ecoregions Level 3,Northern Lakes and Forests,210024410,189021969000,46708273.65,18902196.9,3.926286,12.371107,8.444821,7.697258,1.206641,191883316525
Ecoregions Level 3,Northern Minnesota Wetlands,25097452,22587706800,5581535.289,2258770.68,4.237295,8.202861,3.965566,5.646635,0.576689,22829037601
Ecoregions Level 3,Southern Michigan/Northern Indiana Drift Plains,58685031,52816527900,13051228.13,5281652.79,7.866529,16.269876,8.403347,11.433121,1.045181,53035141067
Forest Service Admin Areas,Allegheny National Forest,3331340,2998206000,740871.6936,299820.6,8.233751,9.389557,1.155806,8.66081,0.238435,2998212080
Forest Service Admin Areas,Chequamegon-Nicolet National Forest,9016913,8115221700,2005311.858,811522.17,6.688159,10.509275,3.821116,8.117012,0.817167,8115684316
Forest Service Admin Areas,Chippewa National Forest,7197246,6477521400,1600627.926,647752.14,4.640705,7.806431,3.165726,6.257024,0.572119,6477469656
Forest Service Admin Areas,Daniel Boone National Forest,9046948,8142253200,2011991.477,814225.32,7.953358,10.308471,2.355113,8.975185,0.572337,8268286835
Forest Service Admin Areas,George Washington and Jefferson National Forest,15724830,14152347000,3497115.705,1415234.7,5.904634,13.74226,7.837626,7.759595,0.987543,14152380131
Forest Service Admin Areas,Green Mountain and Finger Lakes National Forests,3839575,3455617500,853900.3623,345561.75,4.920802,9.800767,4.879965,7.551789,0.608695,3455616315
